subject,idx_in_subject,round_id,band,stratum,T1_arm,T2_arm,T3_arm
数学,0,042752-R1,中,数学×R1×中,推理臂,推理臂,控制臂
数学,1,7f3cc3-R1,中,数学×R1×中,推理臂,控制臂,推理臂
数学,2,de4d21-R1,中,数学×R1×中,控制臂,推理臂,推理臂
数学,3,0da7cf-R1,厚,数学×R1×厚,控制臂,控制臂,推理臂
数学,4,4e38cf-R1,厚,数学×R1×厚,控制臂,推理臂,控制臂
数学,5,7ee1c7-R1,厚,数学×R1×厚,推理臂,控制臂,控制臂
数学,6,b48634-R1,厚,数学×R1×厚,推理臂,推理臂,控制臂
数学,7,023290-R1,薄,数学×R1×薄,推理臂,控制臂,推理臂
数学,8,1cf6b3-R1,薄,数学×R1×薄,控制臂,推理臂,推理臂
数学,9,354ef0-R1,薄,数学×R1×薄,控制臂,控制臂,推理臂
数学,10,73e43a-R1,薄,数学×R1×薄,控制臂,推理臂,控制臂
数学,11,b5aba6-R1,薄,数学×R1×薄,推理臂,控制臂,控制臂
数学,12,c2aa3c-R1,薄,数学×R1×薄,推理臂,推理臂,控制臂
数学,13,6e0f02-R2,中,数学×R2×中,推理臂,控制臂,推理臂
数学,14,de4d21-R2,中,数学×R2×中,控制臂,推理臂,推理臂
数学,15,e566af-R2,中,数学×R2×中,控制臂,控制臂,推理臂
数学,16,0da7cf-R2,厚,数学×R2×厚,控制臂,推理臂,控制臂
数学,17,90c4b4-R2,厚,数学×R2×厚,推理臂,控制臂,控制臂
数学,18,b48634-R2,厚,数学×R2×厚,推理臂,推理臂,控制臂
数学,19,fea502-R2,厚,数学×R2×厚,推理臂,控制臂,推理臂
数学,20,0f43e1-R2,薄,数学×R2×薄,控制臂,推理臂,推理臂
数学,21,26c2fc-R2,薄,数学×R2×薄,控制臂,控制臂,推理臂
数学,22,2db857-R2,薄,数学×R2×薄,控制臂,推理臂,控制臂
数学,23,73e43a-R2,薄,数学×R2×薄,推理臂,控制臂,控制臂
数学,24,b9524c-R2,薄,数学×R2×薄,推理臂,推理臂,控制臂
数学,25,c2aa3c-R2,薄,数学×R2×薄,推理臂,控制臂,推理臂
数学,26,6ff877-R3,中,数学×R3×中,控制臂,推理臂,推理臂
数学,27,de4d21-R3,中,数学×R3×中,控制臂,控制臂,推理臂
数学,28,7ee1c7-R3,厚,数学×R3×厚,控制臂,推理臂,控制臂
数学,29,b48634-R3,厚,数学×R3×厚,推理臂,控制臂,控制臂
数学,30,f8e13e-R3,厚,数学×R3×厚,推理臂,推理臂,控制臂
数学,31,0f43e1-R3,薄,数学×R3×薄,推理臂,控制臂,推理臂
数学,32,73e43a-R3,薄,数学×R3×薄,控制臂,推理臂,推理臂
数学,33,c031ae-R3,薄,数学×R3×薄,控制臂,控制臂,推理臂
数学,34,fd13eb-R3,薄,数学×R3×薄,控制臂,推理臂,控制臂
数学,35,51f8c6-R4,厚,数学×R4×厚,推理臂,控制臂,控制臂
数学,36,5fec46-R4,薄,数学×R4×薄,推理臂,推理臂,控制臂
数学,37,ae331b-R4,薄,数学×R4×薄,推理臂,控制臂,推理臂
数学,38,b5aba6-R4,薄,数学×R4×薄,控制臂,推理臂,推理臂
数学,39,c2aa3c-R4,薄,数学×R4×薄,控制臂,控制臂,推理臂
数学,40,73e43a-R5,薄,数学×R5×薄,控制臂,推理臂,控制臂
科学,0,218996-R1,中,科学×R1×中,推理臂,推理臂,控制臂
科学,1,aac737-R1,中,科学×R1×中,推理臂,控制臂,推理臂
科学,2,dc3460-R1,中,科学×R1×中,控制臂,推理臂,推理臂
科学,3,fea720-R1,中,科学×R1×中,控制臂,控制臂,推理臂
科学,4,072eb3-R1,厚,科学×R1×厚,控制臂,推理臂,控制臂
科学,5,3d3f68-R1,厚,科学×R1×厚,推理臂,控制臂,控制臂
科学,6,8da7d5-R1,厚,科学×R1×厚,推理臂,推理臂,控制臂
科学,7,0ea178-R1,薄,科学×R1×薄,推理臂,控制臂,推理臂
科学,8,525a15-R1,薄,科学×R1×薄,控制臂,推理臂,推理臂
科学,9,98fe8f-R1,薄,科学×R1×薄,控制臂,控制臂,推理臂
科学,10,4b34a8-R2,中,科学×R2×中,控制臂,推理臂,控制臂
科学,11,b818ae-R2,中,科学×R2×中,推理臂,控制臂,控制臂
科学,12,e03517-R2,中,科学×R2×中,推理臂,推理臂,控制臂
科学,13,2bf6e4-R2,厚,科学×R2×厚,推理臂,控制臂,推理臂
科学,14,3d3f68-R2,厚,科学×R2×厚,控制臂,推理臂,推理臂
科学,15,8da7d5-R2,厚,科学×R2×厚,控制臂,控制臂,推理臂
科学,16,0963a4-R2,薄,科学×R2×薄,控制臂,推理臂,控制臂
科学,17,27ea6a-R2,薄,科学×R2×薄,推理臂,控制臂,控制臂
科学,18,8f72d6-R2,薄,科学×R2×薄,推理臂,推理臂,控制臂
科学,19,9e2049-R2,薄,科学×R2×薄,推理臂,控制臂,推理臂
科学,20,1789e2-R3,中,科学×R3×中,控制臂,推理臂,推理臂
科学,21,9a0fa8-R3,中,科学×R3×中,控制臂,控制臂,推理臂
科学,22,d515f1-R3,中,科学×R3×中,控制臂,推理臂,控制臂
科学,23,fea720-R3,中,科学×R3×中,推理臂,控制臂,控制臂
科学,24,2bf6e4-R3,厚,科学×R3×厚,推理臂,推理臂,控制臂
科学,25,487839-R3,厚,科学×R3×厚,推理臂,控制臂,推理臂
科学,26,908f18-R3,厚,科学×R3×厚,控制臂,推理臂,推理臂
科学,27,0963a4-R3,薄,科学×R3×薄,控制臂,控制臂,推理臂
科学,28,204703-R3,薄,科学×R3×薄,控制臂,推理臂,控制臂
科学,29,8686ac-R3,薄,科学×R3×薄,推理臂,控制臂,控制臂
科学,30,9e2049-R3,薄,科学×R3×薄,推理臂,推理臂,控制臂
科学,31,4b34a8-R4,中,科学×R4×中,推理臂,控制臂,推理臂
科学,32,aac737-R4,中,科学×R4×中,控制臂,推理臂,推理臂
科学,33,dc3460-R4,中,科学×R4×中,控制臂,控制臂,推理臂
科学,34,e5519b-R4,中,科学×R4×中,控制臂,推理臂,控制臂
科学,35,303500-R4,厚,科学×R4×厚,推理臂,控制臂,控制臂
科学,36,487839-R4,厚,科学×R4×厚,推理臂,推理臂,控制臂
科学,37,908f18-R4,厚,科学×R4×厚,推理臂,控制臂,推理臂
科学,38,0ea178-R4,薄,科学×R4×薄,控制臂,推理臂,推理臂
科学,39,8686ac-R4,薄,科学×R4×薄,控制臂,控制臂,推理臂
科学,40,9e2049-R4,薄,科学×R4×薄,控制臂,推理臂,控制臂
科学,41,218996-R5,中,科学×R5×中,推理臂,控制臂,控制臂
科学,42,b818ae-R5,中,科学×R5×中,推理臂,推理臂,控制臂
科学,43,e5519b-R5,中,科学×R5×中,推理臂,控制臂,推理臂
科学,44,303500-R5,厚,科学×R5×厚,控制臂,推理臂,推理臂
科学,45,8c3b40-R5,厚,科学×R5×厚,控制臂,控制臂,推理臂
科学,46,27ea6a-R5,薄,科学×R5×薄,控制臂,推理臂,控制臂
科学,47,8f72d6-R5,薄,科学×R5×薄,推理臂,控制臂,控制臂
科学,48,dc767e-R5,薄,科学×R5×薄,推理臂,推理臂,控制臂
英语,0,57588b-R1,中,英语×R1×中,推理臂,推理臂,控制臂
英语,1,949be9-R1,中,英语×R1×中,推理臂,控制臂,推理臂
英语,2,e97d3b-R1,中,英语×R1×中,控制臂,推理臂,推理臂
英语,3,62a11d-R1,厚,英语×R1×厚,控制臂,控制臂,推理臂
英语,4,387720-R1,薄,英语×R1×薄,控制臂,推理臂,控制臂
英语,5,5f7961-R1,薄,英语×R1×薄,推理臂,控制臂,控制臂
英语,6,7fe533-R1,薄,英语×R1×薄,推理臂,推理臂,控制臂
英语,7,9854c2-R1,薄,英语×R1×薄,推理臂,控制臂,推理臂
英语,8,ae95b8-R1,薄,英语×R1×薄,控制臂,推理臂,推理臂
英语,9,c7c507-R1,薄,英语×R1×薄,控制臂,控制臂,推理臂
英语,10,f4d817-R1,薄,英语×R1×薄,控制臂,推理臂,控制臂
英语,11,1b7de9-R2,中,英语×R2×中,推理臂,控制臂,控制臂
英语,12,686805-R2,中,英语×R2×中,推理臂,推理臂,控制臂
英语,13,d38725-R2,中,英语×R2×中,推理臂,控制臂,推理臂
英语,14,f1770f-R2,中,英语×R2×中,控制臂,推理臂,推理臂
英语,15,3133d8-R2,薄,英语×R2×薄,控制臂,控制臂,推理臂
英语,16,55e563-R2,薄,英语×R2×薄,控制臂,推理臂,控制臂
英语,17,67622f-R2,薄,英语×R2×薄,推理臂,控制臂,控制臂
英语,18,9854c2-R2,薄,英语×R2×薄,推理臂,推理臂,控制臂
英语,19,b0a2fd-R2,薄,英语×R2×薄,推理臂,控制臂,推理臂
英语,20,f44d04-R2,薄,英语×R2×薄,控制臂,推理臂,推理臂
英语,21,57588b-R3,中,英语×R3×中,控制臂,控制臂,推理臂
英语,22,b081ff-R3,中,英语×R3×中,控制臂,推理臂,控制臂
英语,23,ef59b4-R3,中,英语×R3×中,推理臂,控制臂,控制臂
英语,24,a8d8d3-R3,厚,英语×R3×厚,推理臂,推理臂,控制臂
英语,25,27cf2a-R3,薄,英语×R3×薄,推理臂,控制臂,推理臂
英语,26,42f995-R3,薄,英语×R3×薄,控制臂,推理臂,推理臂
英语,27,5f7961-R3,薄,英语×R3×薄,控制臂,控制臂,推理臂
英语,28,7fe533-R3,薄,英语×R3×薄,控制臂,推理臂,控制臂
英语,29,9e300a-R3,薄,英语×R3×薄,推理臂,控制臂,控制臂
英语,30,b6b380-R3,薄,英语×R3×薄,推理臂,推理臂,控制臂
英语,31,f4d817-R3,薄,英语×R3×薄,推理臂,控制臂,推理臂
英语,32,33459e-R4,中,英语×R4×中,控制臂,推理臂,推理臂
英语,33,949be9-R4,中,英语×R4×中,控制臂,控制臂,推理臂
英语,34,e97d3b-R4,中,英语×R4×中,控制臂,推理臂,控制臂
英语,35,3133d8-R4,薄,英语×R4×薄,推理臂,控制臂,控制臂
英语,36,55e563-R4,薄,英语×R4×薄,推理臂,推理臂,控制臂
英语,37,67622f-R4,薄,英语×R4×薄,推理臂,控制臂,推理臂
英语,38,956ad2-R4,薄,英语×R4×薄,控制臂,推理臂,推理臂
英语,39,9e300a-R4,薄,英语×R4×薄,控制臂,控制臂,推理臂
英语,40,b6b380-R4,薄,英语×R4×薄,控制臂,推理臂,控制臂
英语,41,f4d817-R4,薄,英语×R4×薄,推理臂,控制臂,控制臂
英语,42,1b7de9-R5,中,英语×R5×中,推理臂,推理臂,控制臂
英语,43,949be9-R5,中,英语×R5×中,推理臂,控制臂,推理臂
英语,44,e97d3b-R5,中,英语×R5×中,控制臂,推理臂,推理臂
英语,45,3133d8-R5,薄,英语×R5×薄,控制臂,控制臂,推理臂
英语,46,55e563-R5,薄,英语×R5×薄,控制臂,推理臂,控制臂
英语,47,67622f-R5,薄,英语×R5×薄,推理臂,控制臂,控制臂
英语,48,b0a2fd-R5,薄,英语×R5×薄,推理臂,推理臂,控制臂
英语,49,f44d04-R5,薄,英语×R5×薄,推理臂,控制臂,推理臂
